City,City_Tier,Property_Type,BHK,Builtup_Area_sqft,Property_Age_years,Floor,Total_Floors,Furnishing,Parking,Distance_to_Metro_km,Distance_to_School_km,Distance_to_Hospital_km,Average_Area_Price_sqft,Rental_Yield_percent,Annual_Rent,Property_Price,Investment_Category
Karnal,Tier_3,Apartment,2,674,0,5,7,Unfurnished,Open,4.14,0.68,2.24,2782,4.56,91793,2013022,High ROI
Agra,Tier_3,Villa,2,2269,2,0,3,Semi-Furnished,None,7.32,3.94,1.39,4322,5.5,516483,9390611,High ROI
Gwalior,Tier_3,Apartment,2,645,21,0,7,Unfurnished,Open,0.9,3.38,7.15,1906,3.65,47382,1298163,High ROI
Jaipur,Tier_2,Apartment,3,1222,12,4,6,Unfurnished,Covered,9.11,3.25,8.2,3492,1.98,83134,4198711,Low ROI
Vadodara,Tier_2,Villa,1,1434,4,0,1,Semi-Furnished,Open,3.48,6.0,3.09,6748,1.5,149699,9979954,Low ROI
Bikaner,Tier_3,Apartment,2,1003,18,1,9,Semi-Furnished,None,5.53,4.89,5.61,2090,3.82,80476,2106711,High ROI
Kochi,Tier_3,Apartment,4,1302,2,3,6,Fully-Furnished,Covered,5.21,4.48,1.92,3797,3.53,172466,4885746,High ROI
Chandrapur,Tier_3,Apartment,2,804,12,7,8,Semi-Furnished,Open,0.82,1.37,3.63,2088,4.42,75835,1715727,High ROI
Gaya,Tier_3,Apartment,2,821,23,3,5,Unfurnished,Covered,2.97,5.96,4.68,1738,3.92,54465,1389421,High ROI
Dehradun,Tier_3,Apartment,2,1088,1,6,11,Fully-Furnished,None,11.62,3.45,1.73,2533,3.64,98948,2718365,High ROI
Madurai,Tier_3,Apartment,2,1214,0,3,9,Semi-Furnished,Open,2.25,0.15,2.83,3044,3.74,148072,3959157,High ROI
Bengaluru,Tier_1,Independent House,3,936,4,0,2,Semi-Furnished,None,8.31,6.79,11.82,5985,2.57,149809,5829153,Medium ROI
Mangalore,Tier_3,Apartment,3,1146,0,3,8,Semi-Furnished,Open,0.68,7.54,0.43,2616,4.86,134720,2772023,High ROI
Raipur,Tier_3,Villa,3,1686,4,0,1,Semi-Furnished,Covered,7.74,1.75,2.34,4718,3.45,275930,7997978,Medium ROI
Bhubaneswar,Tier_3,Apartment,3,918,8,0,3,Fully-Furnished,Open,1.67,4.27,6.38,3333,4.33,125738,2903884,High ROI
Navi Mumbai,Tier_2,Apartment,2,774,0,2,5,Semi-Furnished,Covered,5.78,3.15,6.98,4376,2.66,93727,3523594,Medium ROI
Mangalore,Tier_3,Apartment,1,727,8,0,4,Fully-Furnished,Open,7.48,0.94,7.61,3512,2.76,68777,2491930,Medium ROI
Karnal,Tier_3,Apartment,4,1236,3,0,9,Unfurnished,Covered,6.92,2.34,2.36,2148,4.83,118392,2451190,High ROI
Ghaziabad,Tier_2,Apartment,2,1431,2,0,7,Fully-Furnished,Covered,8.52,0.64,6.58,5113,3.91,274925,7031344,High ROI
Solapur,Tier_3,Apartment,3,1343,14,0,2,Unfurnished,Covered,4.77,4.37,7.36,1807,4.56,102263,2242627,High ROI
Gwalior,Tier_3,Apartment,4,1031,5,3,4,Semi-Furnished,Covered,0.16,0.47,4.65,2323,2.53,61486,2430305,Medium ROI
Firozabad,Tier_3,Apartment,3,1040,3,4,9,Fully-Furnished,Open,5.82,0.64,3.19,2451,3.22,88433,2746374,Medium ROI
Chennai,Tier_1,Apartment,2,662,11,2,5,Unfurnished,Open,11.96,2.28,6.2,4519,2.07,65389,3158903,Low ROI
Jhansi,Tier_3,Apartment,4,1506,9,5,6,Semi-Furnished,Covered,3.78,3.64,3.64,2519,2.68,105471,3935522,Medium ROI
Karnal,Tier_3,Apartment,3,1276,13,8,9,Semi-Furnished,Open,5.83,3.26,3.72,2711,3.97,139363,3510418,High ROI
Jodhpur,Tier_3,Independent House,3,944,19,0,1,Semi-Furnished,Covered,5.34,1.97,6.02,2336,3.69,80911,2192732,High ROI
Nizamabad,Tier_3,Villa,2,2313,14,0,2,Semi-Furnished,None,6.66,2.59,2.04,2693,3.4,221875,6525736,Medium ROI
Raipur,Tier_3,Apartment,2,938,0,2,6,Fully-Furnished,None,2.05,4.49,5.37,3595,3.98,125311,3148532,High ROI
Kolhapur,Tier_3,Apartment,3,930,0,7,8,Fully-Furnished,Covered,5.76,1.37,6.72,3184,5.5,150281,2732399,High ROI
Coimbatore,Tier_3,Apartment,3,1127,16,4,8,Fully-Furnished,Open,0.98,0.3,1.63,2557,2.78,80508,2895996,Medium ROI
Thiruvananthapuram,Tier_3,Plot,2,1078,23,0,2,Fully-Furnished,Open,6.05,4.37,2.67,1939,3.71,74204,2000123,High ROI
Meerut,Tier_3,Apartment,3,1334,7,2,8,Unfurnished,Open,2.45,1.2,4.59,2253,3.25,101188,3113500,Medium ROI
Jamshedpur,Tier_3,Apartment,5,1500,27,3,10,Semi-Furnished,Open,3.5,2.81,0.59,1669,4.99,115213,2308887,High ROI
Nanded,Tier_3,Apartment,1,1159,0,0,10,Fully-Furnished,Open,1.25,0.11,5.41,3735,2.99,132288,4424356,Medium ROI
Jhansi,Tier_3,Apartment,1,631,1,4,8,Semi-Furnished,Open,3.98,3.76,7.82,2468,4.22,70613,1673295,High ROI
Amritsar,Tier_3,Plot,2,1292,12,0,1,Semi-Furnished,Open,6.8,3.24,4.21,2215,4.32,127317,2947153,High ROI
Ghaziabad,Tier_2,Apartment,2,1100,9,2,6,Unfurnished,Covered,9.07,3.57,5.57,3127,3.27,117237,3585236,Medium ROI
Rourkela,Tier_3,Apartment,3,1036,1,3,4,Semi-Furnished,Covered,6.45,0.58,3.26,2555,3.82,102546,2684471,High ROI
Thiruvananthapuram,Tier_3,Apartment,3,1350,6,1,9,Unfurnished,Open,0.05,2.75,4.22,2037,3.6,92364,2565675,High ROI
Aurangabad,Tier_3,Apartment,1,719,9,0,5,Semi-Furnished,Open,5.1,1.35,2.87,2565,2.12,37791,1782640,Low ROI
Srinagar,Tier_3,Apartment,2,1146,4,7,8,Unfurnished,Open,7.24,2.89,1.79,2816,2.73,92158,3375753,Medium ROI
Firozabad,Tier_3,Apartment,3,1374,24,1,7,Semi-Furnished,None,3.86,2.89,2.6,1711,4.03,89420,2218882,High ROI
Allahabad,Tier_3,Independent House,1,549,15,0,1,Semi-Furnished,Open,8.33,3.41,3.13,3045,3.97,70839,1784362,High ROI
Aligarh,Tier_3,Apartment,3,1153,11,5,6,Semi-Furnished,Covered,4.59,3.82,2.98,2543,4.9,143529,2929168,High ROI
Lucknow,Tier_2,Apartment,3,1064,1,5,6,Semi-Furnished,Open,11.9,3.35,5.14,3361,2.17,74235,3421000,Low ROI
Sikar,Tier_3,Independent House,2,862,5,0,1,Fully-Furnished,Covered,0.75,3.92,5.16,3696,4.09,135790,3320072,High ROI
Nashik,Tier_3,Apartment,3,1006,2,2,7,Unfurnished,Covered,3.86,2.82,1.9,2456,3.55,92121,2594962,High ROI
Kanpur,Tier_2,Apartment,2,863,0,2,4,Fully-Furnished,None,9.47,5.15,3.97,4037,1.95,66976,3434679,Low ROI
Warangal,Tier_3,Apartment,4,1455,9,2,3,Unfurnished,Open,1.6,6.02,4.09,2025,4.06,116240,2863062,High ROI
Moradabad,Tier_3,Independent House,3,1336,12,0,1,Fully-Furnished,Covered,7.15,1.33,6.49,3244,3.91,157371,4024852,High ROI
Gaya,Tier_3,Apartment,3,1615,5,3,4,Unfurnished,Open,1.93,0.34,1.88,2374,4.24,173685,4096362,High ROI
Aligarh,Tier_3,Independent House,2,1225,5,0,1,Fully-Furnished,Open,9.18,3.27,3.3,2951,3.85,131569,3417382,High ROI
Chandrapur,Tier_3,Apartment,2,1122,0,1,5,Unfurnished,Open,0.93,1.43,7.13,1996,2.77,65331,2358526,Medium ROI
Warangal,Tier_3,Plot,2,960,35,0,2,Semi-Furnished,Covered,0.69,6.4,2.94,2053,5.17,97716,1890067,High ROI
Chandrapur,Tier_3,Apartment,2,673,7,8,9,Fully-Furnished,Covered,2.28,3.05,2.47,3562,2.43,56167,2311404,Low ROI
Mangalore,Tier_3,Apartment,3,1189,16,4,8,Unfurnished,Open,0.12,4.72,2.03,1854,4.03,90073,2235069,High ROI
Bathinda,Tier_3,Apartment,1,790,2,3,4,Semi-Furnished,Open,5.43,1.88,6.28,2975,4.27,98384,2304076,High ROI
Jodhpur,Tier_3,Independent House,5,1321,9,0,1,Fully-Furnished,Open,2.95,1.7,2.4,3774,5.41,265862,4914281,High ROI
Vijayawada,Tier_3,Villa,3,2902,7,0,2,Semi-Furnished,Covered,5.29,1.79,4.15,4237,3.49,439560,12594844,Medium ROI
Ghaziabad,Tier_2,Apartment,1,689,0,2,4,Unfurnished,Covered,8.7,3.74,5.4,4081,1.5,42352,2823484,Low ROI
Tiruppur,Tier_3,Apartment,1,983,4,1,5,Unfurnished,Open,5.04,4.62,0.6,2867,4.24,116407,2745464,High ROI
Ongole,Tier_3,Apartment,1,589,28,5,8,Fully-Furnished,Covered,3.91,6.41,5.61,2217,4.0,50700,1267508,High ROI
Jhansi,Tier_3,Independent House,1,710,21,0,1,Unfurnished,Open,4.2,4.61,6.17,2663,4.26,86955,2041209,High ROI
Kanpur,Tier_2,Apartment,1,571,4,0,5,Semi-Furnished,None,6.31,4.56,6.0,3657,2.65,51165,1930766,Medium ROI
Jodhpur,Tier_3,Independent House,2,1322,16,0,2,Semi-Furnished,None,5.36,0.97,0.87,2541,4.59,155813,3394636,High ROI
Faridabad,Tier_3,Apartment,1,913,11,3,6,Fully-Furnished,Open,0.71,0.48,7.19,2741,3.07,77849,2535829,Medium ROI
Srinagar,Tier_3,Apartment,2,801,2,2,6,Fully-Furnished,None,2.46,2.1,1.49,3324,3.8,107670,2833440,High ROI
Sikar,Tier_3,Apartment,1,1025,5,2,4,Fully-Furnished,Open,7.07,7.28,6.66,3574,4.2,158545,3774899,High ROI
Tiruppur,Tier_3,Independent House,2,1118,24,0,2,Semi-Furnished,None,6.56,1.89,4.18,2137,3.6,84069,2335250,High ROI
Coimbatore,Tier_3,Plot,2,1565,0,0,2,Semi-Furnished,None,1.08,2.2,0.73,2739,2.87,128501,4477413,Medium ROI
Kolkata,Tier_1,Plot,3,1653,2,0,2,Unfurnished,Open,13.18,8.43,9.13,4504,1.5,114117,7607853,Low ROI
Cuttack,Tier_3,Apartment,3,882,1,5,6,Fully-Furnished,Covered,0.78,3.28,3.15,3429,4.19,134900,3219585,High ROI
Erode,Tier_3,Apartment,3,1244,0,0,11,Fully-Furnished,Open,8.09,0.09,1.47,2542,3.18,107150,3369503,Medium ROI
Jodhpur,Tier_3,Villa,2,2857,13,0,1,Fully-Furnished,Covered,9.46,0.74,3.8,3723,3.12,331957,10639665,Medium ROI
Allahabad,Tier_3,Independent House,2,1444,1,0,2,Semi-Furnished,Covered,0.29,3.67,4.23,3003,3.6,146495,4069331,High ROI
Jaipur,Tier_2,Apartment,4,1374,0,6,9,Fully-Furnished,Open,4.09,7.18,9.39,5705,1.86,134459,7229032,Low ROI
Nanded,Tier_3,Apartment,2,1113,2,2,4,Fully-Furnished,Open,8.89,0.2,1.42,3221,3.28,115169,3511250,Medium ROI
Sikar,Tier_3,Apartment,1,760,5,4,7,Semi-Furnished,Covered,0.48,0.07,4.94,2353,5.31,88321,1663305,High ROI
Bikaner,Tier_3,Plot,2,1321,0,0,2,Unfurnished,None,9.18,3.52,3.39,2559,4.18,136879,3274625,High ROI
Warangal,Tier_3,Apartment,2,815,1,8,9,Unfurnished,Open,0.72,1.77,6.23,2268,3.86,76479,1981323,High ROI
Puducherry,Tier_3,Plot,2,2095,0,0,1,Semi-Furnished,Open,5.18,1.35,4.1,2814,4.15,249183,6004419,High ROI
Ranchi,Tier_3,Apartment,2,1116,9,3,4,Semi-Furnished,Covered,1.51,3.42,0.44,3040,2.03,64455,3175160,Low ROI
Shimla,Tier_3,Apartment,4,1477,20,5,10,Unfurnished,Open,11.48,3.54,4.7,1664,3.34,77125,2309147,Medium ROI
Tiruppur,Tier_3,Apartment,2,952,4,0,8,Unfurnished,Covered,3.92,4.04,6.68,2178,4.2,81872,1949355,High ROI
Nellore,Tier_3,Apartment,3,1202,4,1,4,Fully-Furnished,Open,0.06,3.42,3.33,3481,2.31,94002,4069388,Low ROI
Vadodara,Tier_2,Independent House,2,870,5,0,2,Unfurnished,Covered,3.68,3.61,2.18,4677,2.79,118946,4263333,Medium ROI
Thane,Tier_2,Villa,1,2862,1,0,1,Semi-Furnished,Covered,10.16,2.52,5.04,5631,1.86,291304,15661508,Low ROI
Nashik,Tier_3,Apartment,1,717,1,3,4,Fully-Furnished,None,4.48,2.41,4.29,2323,4.7,77634,1651806,High ROI
Chandigarh,Tier_2,Apartment,1,989,5,4,6,Unfurnished,Covered,2.05,6.32,4.41,3122,3.01,97150,3227579,Medium ROI
Bathinda,Tier_3,Apartment,2,1152,0,0,4,Unfurnished,Covered,2.36,3.18,0.5,3012,3.9,133726,3428893,High ROI
Indore,Tier_2,Apartment,4,1396,0,0,6,Unfurnished,Open,8.24,6.24,3.04,3303,1.5,65028,4335207,Low ROI
Cuttack,Tier_3,Apartment,2,911,4,5,11,Semi-Furnished,Covered,3.73,4.24,6.73,2782,4.72,118737,2515633,High ROI
Rourkela,Tier_3,Apartment,3,1255,7,0,5,Fully-Furnished,Open,6.4,1.94,3.43,3235,3.94,165613,4203379,High ROI
Vasai-Virar,Tier_3,Apartment,3,1109,0,1,2,Semi-Furnished,Covered,0.04,0.46,6.2,2719,3.22,100661,3126149,Medium ROI
Vijayawada,Tier_3,Apartment,3,990,1,2,5,Unfurnished,Open,5.61,4.39,1.31,2387,2.61,57643,2208571,Medium ROI
Lucknow,Tier_2,Apartment,1,1100,1,5,6,Semi-Furnished,Covered,10.87,7.5,7.06,4719,2.78,146303,5262713,Medium ROI
Kochi,Tier_3,Apartment,3,1029,3,6,8,Semi-Furnished,Covered,5.08,1.96,2.51,3353,4.0,136307,3407695,High ROI
Kolkata,Tier_1,Plot,3,1844,2,0,2,Unfurnished,Open,9.91,5.93,9.29,4182,1.5,118574,7904998,Low ROI
Varanasi,Tier_3,Independent House,2,1242,10,0,3,Semi-Furnished,None,3.58,3.73,6.13,2400,3.89,110872,2850197,High ROI
Thiruvananthapuram,Tier_3,Independent House,4,1140,33,0,3,Fully-Furnished,Open,3.72,2.23,5.23,2440,4.21,119147,2830108,High ROI
Bathinda,Tier_3,Independent House,2,1006,14,0,1,Semi-Furnished,Covered,0.48,3.02,7.46,2568,3.94,99177,2517200,High ROI
Mumbai,Tier_1,Apartment,1,1320,2,6,8,Unfurnished,None,11.49,3.55,10.42,5500,1.5,100722,6714811,Low ROI
Jamshedpur,Tier_3,Apartment,2,1052,10,2,6,Unfurnished,Open,0.2,0.83,4.82,2428,3.65,97359,2667393,High ROI
Nellore,Tier_3,Apartment,3,1283,3,2,10,Unfurnished,Covered,9.04,0.9,6.12,1969,3.29,77548,2357103,Medium ROI
Aligarh,Tier_3,Villa,2,2572,5,0,2,Semi-Furnished,Open,1.49,1.27,3.66,4024,4.98,483569,9710226,High ROI
Gurgaon,Tier_2,Apartment,3,1601,6,7,8,Fully-Furnished,Open,9.85,2.6,7.57,3690,2.85,165547,5808689,Medium ROI
Bokaro,Tier_3,Apartment,2,445,1,1,5,Unfurnished,Covered,6.4,2.78,4.64,2302,5.24,50414,962104,High ROI
Warangal,Tier_3,Villa,2,2069,12,0,2,Fully-Furnished,Covered,3.32,0.48,2.27,4023,4.62,405060,8767539,High ROI
Guwahati,Tier_3,Apartment,3,1576,1,0,4,Semi-Furnished,None,8.63,1.34,5.13,3081,2.23,114554,5136981,Low ROI
Mysore,Tier_3,Apartment,2,1034,22,6,9,Semi-Furnished,None,4.62,1.64,3.98,1561,3.62,56791,1568820,High ROI
Cuttack,Tier_3,Apartment,3,1380,1,2,7,Unfurnished,Open,6.33,0.45,0.97,1963,4.03,108046,2681060,High ROI
Moradabad,Tier_3,Apartment,2,955,2,2,6,Fully-Furnished,Open,3.27,4.17,5.04,2781,3.52,88522,2514832,High ROI
Bhavnagar,Tier_3,Apartment,2,1013,22,1,6,Semi-Furnished,Open,5.55,0.18,4.62,2563,2.68,71200,2656737,Medium ROI
Vadodara,Tier_2,Apartment,1,1282,28,1,5,Unfurnished,Open,8.4,3.0,7.74,3210,4.44,187261,4217612,High ROI
Nashik,Tier_3,Plot,3,1511,9,0,2,Fully-Furnished,Covered,4.46,0.74,3.42,2608,2.89,121614,4208121,Medium ROI
Nellore,Tier_3,Apartment,5,1015,1,5,8,Fully-Furnished,Open,8.19,2.51,1.58,2965,3.7,110796,2994510,High ROI
Firozabad,Tier_3,Apartment,2,874,2,0,9,Semi-Furnished,Open,5.81,3.03,3.12,2405,3.7,77174,2085797,High ROI
Surat,Tier_2,Apartment,2,852,19,1,9,Fully-Furnished,Open,1.01,4.3,6.11,3835,3.4,112520,3309415,Medium ROI
Chennai,Tier_1,Apartment,3,1437,4,10,11,Unfurnished,Open,10.61,4.31,5.91,5213,1.91,135086,7072612,Low ROI
Surat,Tier_2,Apartment,3,1352,1,5,10,Fully-Furnished,None,3.31,4.76,4.73,5098,3.1,197912,6384262,Medium ROI
Aligarh,Tier_3,Plot,2,1756,10,0,3,Unfurnished,Open,11.77,0.79,4.69,2371,3.97,162312,4088477,High ROI
Raipur,Tier_3,Villa,1,2371,6,0,2,Unfurnished,Open,0.98,4.68,6.49,3301,3.66,281257,7684619,High ROI
Amritsar,Tier_3,Villa,3,1901,5,0,3,Unfurnished,Open,2.18,1.4,5.68,3375,4.19,253402,6047786,High ROI
Kota,Tier_3,Apartment,3,1032,13,3,4,Unfurnished,Open,8.85,1.76,6.24,2567,4.97,127651,2568432,High ROI
Hubli-Dharwad,Tier_3,Apartment,2,1199,5,1,7,Fully-Furnished,Covered,2.71,2.97,2.55,3762,4.22,205490,4869442,High ROI
Jamshedpur,Tier_3,Apartment,3,1105,2,4,6,Semi-Furnished,None,7.09,0.23,5.01,2309,4.28,117084,2735626,High ROI
Raipur,Tier_3,Plot,2,1036,19,0,1,Unfurnished,None,6.5,3.75,7.95,1543,3.64,60869,1672239,High ROI
Salem,Tier_3,Independent House,3,1005,4,0,3,Unfurnished,Open,4.42,4.6,3.83,3178,3.7,120405,3254206,High ROI
Bokaro,Tier_3,Apartment,2,962,0,2,9,Fully-Furnished,Open,1.17,4.18,1.88,2953,4.28,125016,2920947,High ROI
Aurangabad,Tier_3,Plot,3,1484,0,0,2,Unfurnished,Open,5.1,6.08,2.64,1997,3.47,107913,3109887,Medium ROI
Agartala,Tier_3,Plot,2,1394,2,0,3,Semi-Furnished,Open,3.09,0.81,5.15,2132,4.59,133836,2915835,High ROI
Jamshedpur,Tier_3,Apartment,2,827,0,3,8,Fully-Furnished,None,4.21,4.72,0.88,2610,3.94,86964,2207226,High ROI
Solapur,Tier_3,Apartment,1,995,16,8,10,Unfurnished,Open,5.5,4.84,7.57,2307,2.94,65033,2212017,Medium ROI
Bhavnagar,Tier_3,Apartment,2,1156,5,3,9,Semi-Furnished,Covered,3.68,2.03,2.1,3270,1.98,73827,3728648,Low ROI
Bhubaneswar,Tier_3,Apartment,2,955,1,0,5,Semi-Furnished,Open,2.2,4.57,1.76,2440,4.13,90063,2180725,High ROI
Karnal,Tier_3,Apartment,1,1346,2,0,5,Semi-Furnished,Covered,4.31,1.92,3.15,2762,4.61,180463,3914604,High ROI
Agartala,Tier_3,Apartment,1,720,4,1,10,Unfurnished,Open,2.04,1.43,3.57,2717,5.04,99364,1971515,High ROI
